url,name,description,language,Category,blockchain,updated_at
https://api.github.com/repos/MetaMask/metamask-extension,metamask-extension,:globe_with_meridians: :electric_plug: metamask chrome extension,JavaScript,Crypto,ethereum,2025-03-06 02:57:32+00:00
https://api.github.com/repos/bitcoin-wallet/bitcoin-wallet,bitcoin-wallet,"Bitcoin Wallet app for your Android device. Standalone Bitcoin node, no centralized backend required.",Java,Crypto,bitcoin,2025-03-05 16:08:48+00:00
https://api.github.com/repos/yasinkuyu/binance-trader,binance-trader,Bitcoin Trading Bot for Binance (Experimental),,Crypto,multi,2024-05-01 21:05:45+00:00
https://api.github.com/repos/ConsenSys/Tokens,Tokens,Ethereum Token Contracts,JavaScript,Crypto,ethereum,2024-06-24 13:24:34+00:00
https://api.github.com/repos/CryptoSignal/crypto-signal,crypto-signal,"Automated Crypto Trading & Technical Analysis (TA) Bot for Bittrex, Binance, GDAX, and more! (250+ coins)",Python,Crypto,multi,2024-07-07 15:33:11+00:00
https://api.github.com/repos/hyperledger/blockchain-explorer,blockchain-explorer,,,Others,multi,2024-04-17 07:52:27+00:00
https://api.github.com/repos/zkSNACKs/WalletWasabi,WalletWasabi,"Privacy focused, ZeroLink compliant Bitcoin wallet.",,Crypto,bitcoin,2025-02-25 15:28:50+00:00
https://api.github.com/repos/aragon/aragon,aragon,Aragon dapp to create and manage blockchain companies.,,Others,ethereum,2025-02-25 16:53:58+00:00
https://api.github.com/repos/btcsuite/btcwallet,btcwallet,A secure bitcoin wallet daemon written in Go (golang),Go,Crypto,bitcoin,2025-03-06 00:06:21+00:00
https://api.github.com/repos/poanetwork/blockscout,blockscout,A tool for inspecting and analyzing EVM based blockchains. Blockchain explorer for Ethereum networks.,Elixir,Others,ethereum,2025-03-05 20:52:54+00:00
https://api.github.com/repos/gurnec/btcrecover,btcrecover,"An open source Bitcoin wallet password and seed recovery tool designed for the case where you already know most of your password/seed, but need assistance in trying different possible combinations.",Python,Others,bitcoin,2024-08-02 04:13:10+00:00
https://api.github.com/repos/district0x/ethlance,ethlance,Ethlance is the first job market platform built entirely on the Ethereum blockchain. Free to use forever!,Clojure,Others,ethereum,2025-03-05 22:21:54+00:00
https://api.github.com/repos/square/subzero,subzero,Square's Bitcoin Cold Storage solution.,Java,Others,bitcoin,2025-03-06 04:24:34+00:00
https://api.github.com/repos/LightningNetwork/lightning-onion,lightning-onion,Onion routed micropayments for the Bitcoin Lightning Network,Go,Crypto,bitcoin,2024-08-15 22:54:20+00:00
https://api.github.com/repos/steemit/condenser,condenser,The social application web front-end to the Steem Blockchain.,JavaScript,Others,others,2025-02-22 00:17:25+00:00
https://api.github.com/repos/gazbert/bxbot,bxbot,BX-bot (Bex) is a simple Java automated trading bot for trading Bitcoin on cryptocurrency exchanges,Java,Crypto,bitcoin,2024-11-30 23:30:51+00:00
https://api.github.com/repos/jsappme/node-binance-trader,node-binance-trader,A Cryptocurrency Trading Bot for Binance using Node.JS,,Crypto,binance,2024-08-19 19:20:27+00:00
