full_name,id,name,is_fork,owner,owner_url,repo_url,stars,forks,watchers,language,description,open_issues,license_name,topics,default_branch,pushed_at,created_at,updated_at
BunsDev/functions-workshop,790367092,functions-workshop,False,BunsDev,https://github.com/BunsDev,https://github.com/BunsDev/functions-workshop,16,18,16,Solidity,Using OpenAI to post a price forecast on-chain using Chainlink Functions,0,,,main,2024-06-03 13:28:12+00:00,2024-04-22 18:47:40+00:00,2025-01-27 19:54:07+00:00
opexdev/core,370411517,core,False,opexdev,https://github.com/opexdev,https://github.com/opexdev/core,82,36,82,Kotlin,"Core for OPEX exchange, Open Source Cryptocurrency Exchange",6,MIT License,"docker, cryptocurrency-exchanges, redis, kafka, keycloak, jenkins, microservice, cryptocurrency, blockchain, spring-boot",main,2025-02-20 14:34:09+00:00,2021-05-24 16:08:20+00:00,2025-02-19 02:46:23+00:00
toma-x/exploring-order-book-predictability,747867585,exploring-order-book-predictability,False,toma-x,https://github.com/toma-x,https://github.com/toma-x/exploring-order-book-predictability,35,8,35,Jupyter Notebook,"Deep learning approach for market price prediction, in JAX",1,,"binance, bitcoin, crypto, cryptocurrency, exchange, hft, high-frequency-trading, limit-order-book, order-book, orderbook, trading",main,2024-05-20 05:52:13+00:00,2024-01-24 19:52:18+00:00,2025-02-04 05:49:39+00:00
ethereum-optimism/lib-keccak,739139755,lib-keccak,False,ethereum-optimism,https://github.com/ethereum-optimism,https://github.com/ethereum-optimism/lib-keccak,27,11,27,Solidity,Keccak-f[1600] permutation in the EVM,1,MIT License,,main,2025-02-03 21:26:42+00:00,2024-01-04 21:35:47+00:00,2025-02-09 15:43:39+00:00
DevAloshe/BlockChain-Based-Document-Verfication-With-IPFS,609701136,BlockChain-Based-Document-Verfication-With-IPFS,False,DevAloshe,https://github.com/DevAloshe,https://github.com/DevAloshe/BlockChain-Based-Document-Verfication-With-IPFS,21,13,21,HTML,,0,,,main,2024-06-24 07:04:24+00:00,2023-03-05 00:49:54+00:00,2025-02-21 06:16:17+00:00
turborium/TurboriumBasic,423948222,TurboriumBasic,False,turborium,https://github.com/turborium,https://github.com/turborium/TurboriumBasic,19,7,19,Pascal,Simple BASIC interpriter,0,GNU General Public License v3.0,"basic, delphi, gdd, gdd-methodology, interpreter, object-pascal, pascal, programming-language, clean-architecture, clean-code, computer-science, cpp, ingenieria-informatica, linux-kernel, pure-c, web3, xplatform",main,2024-12-25 17:03:31+00:00,2021-11-02 18:03:38+00:00,2025-02-05 13:59:02+00:00
noahtheprogrammer/soltrade,564131319,soltrade,False,noahtheprogrammer,https://github.com/noahtheprogrammer,https://github.com/noahtheprogrammer/soltrade,292,123,292,Python,Python trading bot using the Solana blockchain.,3,GNU General Public License v3.0,"open-source, python, solana, technical-analysis, trading, trading-bot, trends, usdc",main,2024-07-27 21:33:45+00:00,2022-11-10 03:44:59+00:00,2025-02-21 05:59:47+00:00
dev-ptera/thebananostand,442316828,thebananostand,False,dev-ptera,https://github.com/dev-ptera,https://github.com/dev-ptera/thebananostand,22,9,22,TypeScript,"There's always money in The Banano Stand, a cryptocurrency web wallet. ",13,MIT License,"wallet, cryptocurrency, nanocurrency, banano-currency, ledger-wallet, ledger-web, angular, ledger, banano, ledger-nano, ledger-nano-s, ledger-nano-x",master,2025-02-14 17:09:19+00:00,2021-12-28 01:31:57+00:00,2025-02-14 17:09:23+00:00
bogdantimes/trading-helper,449193031,trading-helper,False,bogdantimes,https://github.com/bogdantimes,https://github.com/bogdantimes/trading-helper,20,6,20,TypeScript,Simple to use and secure autonomous trading bot with WEB application.,0,MIT License,"automation, binance, bot, crypto, cryptocurrency, google-apps-script, trading, bitcoin, trading-bot, tradinghelper, trading-script, script",main,2024-12-02 15:51:24+00:00,2022-01-18 08:01:24+00:00,2024-12-11 14:14:50+00:00
telsacoin/telsavideo,371045951,telsavideo,False,telsacoin,https://github.com/telsacoin,https://github.com/telsacoin/telsavideo,229,68,229,Dart,Community-focused Decentralized Cryptocurrency Video APP like Tiktok  ,10,,"video, dtok, flutter, dart, tiktok, decentralized-applications, android, video-streaming, ethereum-dapp, ios, ethereum, shortvideo",master,2025-01-20 18:08:34+00:00,2021-05-26 13:34:58+00:00,2025-02-12 05:57:56+00:00
novasamatech/nova-wallet-android,415834480,nova-wallet-android,False,novasamatech,https://github.com/novasamatech,https://github.com/novasamatech/nova-wallet-android,59,37,59,Kotlin,"Nova Wallet Android is a next gen application for Polkadot & Kusama ecosystem, transparent & community-oriented, focused on convenient UX/UI, fast performance & security.",20,Apache License 2.0,"blockchain, cryptocurrency, dapps, defi, nft, polkadot, self-custody, staking, substrate",develop,2025-02-21 12:22:41+00:00,2021-10-11 08:08:45+00:00,2025-02-21 09:45:08+00:00
Planetable/Planet,497232768,Planet,False,Planetable,https://github.com/Planetable,https://github.com/Planetable/Planet,1480,61,1480,Swift,Build and host decentralized blogs and websites on your Mac,78,MIT License,"blog, ens, ipfs, ipns, macos, swiftui, web3, kubo, static-site-generator",main,2025-02-17 07:32:43+00:00,2022-05-28 06:22:23+00:00,2025-02-20 03:05:30+00:00
AP3X-Dev/Solana-Casino,891092642,Solana-Casino,False,AP3X-Dev,https://github.com/AP3X-Dev,https://github.com/AP3X-Dev/Solana-Casino,5,6,5,TypeScript,"A revolutionary SaaS platform that transforms any Solana meme token into a fully-featured casino ecosystem. Create engaging gambling experiences for your community with provably fair games, seamless wallet integration, and Telegram bot support.",0,,"casino, casino-games, memecoin, saas, solana",main,2024-11-19 18:03:51+00:00,2024-11-19 17:59:33+00:00,2025-02-12 15:37:06+00:00
BlowaterNostr/blowater,660509656,blowater,False,BlowaterNostr,https://github.com/BlowaterNostr,https://github.com/BlowaterNostr/blowater,45,6,45,JavaScript,,12,GNU Affero General Public License v3.0,"chat, data-ownership, decentralized-applications, messaging, privacy, resiliency, web3",main,2024-08-29 08:49:15+00:00,2023-06-30 07:06:26+00:00,2024-11-01 06:56:04+00:00
KUnity/AR_Mobile_Fishing_Game,485670196,AR_Mobile_Fishing_Game,False,KUnity,https://github.com/KUnity,https://github.com/KUnity/AR_Mobile_Fishing_Game,10,6,10,C#,AR Mobile Fishing Game 🐬 with NFT,1,,,main,2024-02-23 08:36:51+00:00,2022-04-26 07:00:37+00:00,2024-12-02 17:42:15+00:00
AtlasDA0/app-contracts,743895433,app-contracts,False,AtlasDA0,https://github.com/AtlasDA0,https://github.com/AtlasDA0/app-contracts,8,5,8,Rust,"Cosmwasm implementation of non-custodial NFT loans,  on-chain raffles & P2P trading",7,Apache License 2.0,,main,2025-01-18 21:42:00+00:00,2024-01-16 08:08:58+00:00,2025-01-18 21:42:02+00:00
B2Bitcoin/beBOP,617162969,beBOP,False,B2Bitcoin,https://github.com/B2Bitcoin,https://github.com/B2Bitcoin/beBOP,28,5,28,TypeScript,Marvelous p2p bitcoin-based online sales platform,313,GNU Affero General Public License v3.0,,main,2025-02-17 16:08:15+00:00,2023-03-21 20:24:27+00:00,2025-02-14 16:36:27+00:00
