full_name,id,name,is_fork,owner,owner_url,repo_url,stars,forks,watchers,language,description,open_issues,license_name,topics,default_branch,pushed_at,created_at,updated_at
uxuycom/uxuy-docsite,623244380,uxuy-docsite,False,uxuycom,https://github.com/uxuycom,https://github.com/uxuycom/uxuy-docsite,6,7,6,JavaScript,UXUY official documentation,2,,,main,2025-02-26 08:43:27+00:00,2023-04-04 01:40:01+00:00,2025-02-26 08:43:31+00:00
redbrick/nomad,549785108,nomad,False,redbrick,https://github.com/redbrick,https://github.com/redbrick/nomad,7,5,7,HCL,"Collection of Redbrick's Nomad job files, with ansible scripts to help deploy and manage it",10,,"ansible, nomad",master,2025-03-05 01:42:32+00:00,2022-10-11 18:26:02+00:00,2025-03-01 00:51:21+00:00
stargatedaw/stargate,410708568,stargate,False,stargatedaw,https://github.com/stargatedaw,https://github.com/stargatedaw/stargate,707,37,707,Python,"Innovation-first digital audio workstation (DAW), instrument and effect plugins, wave editor",16,GNU General Public License v3.0,"daw, sequencer, digital-audio-workstation, songs, pyqt6, pyqt, audio-dsp, audio-effect, audio-plugin, synthesizer, sampler, synthesis, music-creation, electronic-music, edm, drums, synth, drum-machine, computer-music, c17",main,2024-06-22 23:53:38+00:00,2021-09-27 01:45:56+00:00,2025-03-03 13:47:14+00:00
stargate-protocol/stargate,470727014,stargate,False,stargate-protocol,https://github.com/stargate-protocol,https://github.com/stargate-protocol/stargate,287,142,287,JavaScript,,15,Other,,main,2024-06-06 00:19:01+00:00,2022-03-16 19:37:25+00:00,2025-03-05 13:38:52+00:00
Povstalec/StargateJourney,583743949,StargateJourney,False,Povstalec,https://github.com/Povstalec,https://github.com/Povstalec/StargateJourney,58,24,58,Java,A repository for the Stargate Journey Minecraft Mod,21,Other,,main,2025-03-03 14:05:00+00:00,2022-12-30 19:14:18+00:00,2025-03-04 18:11:07+00:00
Tau-ri-Dev/Mod-JSG-1.12.2,402874309,Mod-JSG-1.12.2,False,Tau-ri-Dev,https://github.com/Tau-ri-Dev,https://github.com/Tau-ri-Dev/Mod-JSG-1.12.2,34,21,34,Java,Just Stargate Mod for Minecraft (1.12.2),11,Other,"immersive, minecraft, mod, realistic, stargate, forge, minecraft-forge, minecraft-mod, modding",master,2025-01-28 07:58:49+00:00,2021-09-03 19:11:42+00:00,2025-01-28 07:58:53+00:00
stargate-protocol/stargate-v2,778042886,stargate-v2,False,stargate-protocol,https://github.com/stargate-protocol,https://github.com/stargate-protocol/stargate-v2,24,22,24,Solidity,,29,Other,,main,2025-03-05 16:33:10+00:00,2024-03-27 01:00:08+00:00,2025-03-01 16:16:21+00:00
trulyno/star-technology,706177654,star-technology,False,trulyno,https://github.com/trulyno,https://github.com/trulyno/star-technology,22,27,22,JavaScript,One of the first GregTech CEu Modern modpacks having as an end goal making stargates.,1,MIT License,,main,2025-03-05 21:14:42+00:00,2023-10-17 12:59:38+00:00,2025-03-05 20:42:19+00:00
stargate/stargate-mongoose,579179592,stargate-mongoose,False,stargate,https://github.com/stargate,https://github.com/stargate/stargate-mongoose,21,6,21,TypeScript,Mongoose Node.js package for Apache Cassandra / DataStax Astra,2,Apache License 2.0,"cassandra, javascript, mongodb, mongoose, nodejs",main,2025-02-27 17:03:24+00:00,2022-12-16 21:33:01+00:00,2025-02-21 13:51:35+00:00
stargate/data-api,564388942,data-api,False,stargate,https://github.com/stargate,https://github.com/stargate/data-api,16,16,16,Java,JSON document API for Apache Cassandra (formerly known as JSON API),155,Apache License 2.0,"api, cassandra, json, java, javascript",main,2025-03-05 20:20:47+00:00,2022-11-10 16:00:19+00:00,2025-03-04 18:05:56+00:00
WORLD3-ai/world_ai_protocol,907687401,world_ai_protocol,False,WORLD3-ai,https://github.com/WORLD3-ai,https://github.com/WORLD3-ai/world_ai_protocol,14,7,14,TypeScript,,0,Apache License 2.0,,main,2025-01-06 03:13:26+00:00,2024-12-24 06:41:42+00:00,2025-02-24 23:55:01+00:00
KohakuBlueleaf/KGen,788051280,KGen,False,KohakuBlueleaf,https://github.com/KohakuBlueleaf,https://github.com/KohakuBlueleaf/KGen,72,8,72,Python,A system for Prompt generation to improve Text-to-Image performance.,1,Apache License 2.0,,main,2025-01-22 02:38:11+00:00,2024-04-17 17:26:04+00:00,2025-03-03 12:40:18+00:00
Eragon-Brisingr/ImGui_WS,543514384,ImGui_WS,False,Eragon-Brisingr,https://github.com/Eragon-Brisingr,https://github.com/Eragon-Brisingr/ImGui_WS,98,16,98,C++,Support Unreal Engine use ImGui and Draw on web page.,0,MIT License,"imgui, unreal, web",master,2024-05-25 04:15:13+00:00,2022-09-30 09:01:50+00:00,2025-02-21 07:07:42+00:00
QuickSwap/interface-v2,389646168,interface-v2,False,QuickSwap,https://github.com/QuickSwap,https://github.com/QuickSwap/interface-v2,91,192,91,TypeScript,New front-end interface of quickswap.exchange,25,GNU General Public License v3.0,,master,2025-03-05 19:06:49+00:00,2021-07-26 13:40:02+00:00,2025-03-04 12:51:27+00:00
multiversx/mx-assets,372866950,mx-assets,False,multiversx,https://github.com/multiversx,https://github.com/multiversx/mx-assets,63,913,63,,"This repository holds a list of branded assets in the MultiversX web tools. Branded assets (can be a token, an account or a staking identity) can have website and socials URLS, a logo or a description, that will be displayed on MultiversX products, such as the MultiversX Explorer, Web Wallet and xPortal App.",110,,,master,2025-03-05 16:20:34+00:00,2021-06-01 14:53:27+00:00,2025-03-05 16:20:40+00:00
SpikeHimself/XPortal,595827662,XPortal,False,SpikeHimself,https://github.com/SpikeHimself,https://github.com/SpikeHimself/XPortal,21,6,21,C#,XPortal is a Valheim mod that lets you select a portal's destination from a list. XPortal is a complete rewrite of AnyPortal.,23,GNU General Public License v3.0,"bepinex, harmonyx, jotunn, mod, unity, valheim, csharp, modding",main,2025-03-04 15:56:44+00:00,2023-01-31 22:17:48+00:00,2025-03-04 15:56:43+00:00
togethercomputer/OpenChatKit,608892940,OpenChatKit,False,togethercomputer,https://github.com/togethercomputer,https://github.com/togethercomputer/OpenChatKit,9024,1016,9024,Python,,84,Apache License 2.0,,main,2024-04-09 19:09:58+00:00,2023-03-03 00:12:53+00:00,2025-03-05 02:32:51+00:00
imoneoi/openchat,645397533,openchat,False,imoneoi,https://github.com/imoneoi,https://github.com/imoneoi/openchat,5315,407,5315,Python,OpenChat: Advancing Open-source Language Models with Imperfect Data,135,Apache License 2.0,"large-language-models, open-source, transformers",master,2024-09-13 07:46:22+00:00,2023-05-25 14:58:59+00:00,2025-03-05 15:51:13+00:00
